"UTLA22NM","predicted"
"Newham",63.08
"Hackney",66.52
"Islington",67.35
"Tower Hamlets",67.88
"Lambeth",69.61
"Waltham Forest",69.75
"Lewisham",69.81
"Brent",70.56
"Southwark",71.21
"Barking and Dagenham",71.25
"Haringey",71.78
"Redbridge",71.86
"Wandsworth",72.83
"Hounslow",73.36
"Greenwich",73.54
"Kensington and Chelsea",73.94
"Harrow",74.15
"Merton",74.33
"Camden",74.53
"Ealing",74.6
"Hammersmith and Fulham",75.02
"Westminster",75.65
"Croydon",75.74
"Enfield",76.04
"Barnet",76.65
"Leicester",76.94
"Hillingdon",77.05
"Kingston upon Thames",77.9
"Luton",78.22
"Sutton",78.5
"Slough",79.23
"Bexley",79.38
"West Midlands",79.47
"Richmond upon Thames",79.83
"Bromley",80.34
"Nottingham",81.75
"Havering",81.96
"Reading",81.98
"Greater Manchester",82.06
"Kingston upon Hull, City of",82.67
"Derby",83.02
"Stoke-on-Trent",83.19
"Southampton",83.48
"Blackburn with Darwen",83.83
"Portsmouth",84.02
"West Yorkshire",84.62
"Merseyside",85.09
"Blackpool",85.46
"West Northamptonshire",85.46
"Halton",85.8
